Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2017-03-07,2411.2597210974386,3080.166145324707,53.867034912109375,10.677734375,53.8918571472168,10.686466217041016,1.9225304605856948,14.960164070129395,0.5269724726676941,5168,,,,,78934039,3083333,
2017-03-08,2275.593552683226,1753.909590125084,53.56095504760742,9.998390197753906,53.89170455932617,10.686838150024414,4.083274899760067,39.05046081542969,0.5217278599739075,3668,,,,,76680427,1706079,
2017-03-09,2346.497709042235,2172.0099618434906,53.61241149902344,9.99660873413086,53.617706298828125,10.001181602478027,2.0820261284374113,2.990000009536743,0.5115662217140198,3841,,,,,81822458,2415302,
2017-03-10,2373.6083258019025,2562.10208068043,53.61247253417969,9.998176574707031,53.63048553466797,10.009554862976074,2.373345959080884,17.36001205444336,0.5099999904632568,4572,,,,,80426459,2435080,121915
2017-03-11,3285.3409471715254,11629.661389663815,52.4975471496582,9.99836540222168,53.63361358642578,13.41421127319336,5.712444089497075,59.55001449584961,0.5,16709,,,,,59037395,11570475,164146
2017-03-12,2664.9089178215263,6337.622041583061,52.49695587158203,9.943458557128906,53.61336898803711,13.402932167053223,2.8556852119570935,34.80043029785156,0.5,10254,,,,,62522655,6476906,
2017-03-13,2365.9311244326723,2376.035233438015,53.61266326904297,9.998250007629395,53.61736297607422,10.002690315246582,1.8701768357514583,3.1826560497283936,0.6003332734107971,4230,,,,,82390140,2627865,
2017-03-14,2360.1969359820296,2654.8027379512787,53.61212158203125,9.997021675109863,53.61736297607422,10.003755569458008,1.9295832151005712,6.778974533081055,0.5403702855110168,4288,,,,,81713823,2562826,
2017-03-15,2334.8027351585947,2371.0937997102737,53.61149597167969,9.998167037963867,53.61736297607422,10.002202033996582,2.0314796075669355,10.576469421386719,0.5393514037132263,3917,,,,,82746088,2310788,
2017-03-16,2366.1704532840795,2617.3354374170303,53.61199188232422,9.99731731414795,53.61648941040039,10.003657341003418,1.955276932621719,6.021577835083008,0.5208646655082703,4574,,,,,81975511,2630032,
2017-03-17,2538.0839644044504,4890.167953252792,53.61222457885742,9.998023986816406,53.631526947021484,10.010161399841309,1.7049806583817115,16.079999923706055,0.5115662217140198,7138,,,,,79350093,4122462,97488
2017-03-18,2238.470088421914,1290.2176728248596,53.61222839355469,9.99797534942627,53.61615753173828,10.003729820251465,2.3287873326027984,5.722464561462402,0.6307138800621033,1903,,,,,84440359,1059687,118647
2017-03-19,2146.0832269691964,224.65590023994446,53.61195755004883,9.984310150146484,53.617618560791016,10.000442504882812,2.0429339838091742,6.968564987182617,0.5724508762359619,517,,,,,77467934,388474,
2017-03-20,2326.2802648022775,2475.1902245879173,53.612369537353516,9.998367309570312,53.617549896240234,10.002752304077148,1.591806918441809,4.6902666091918945,0.5162363648414612,4360,,,,,79935019,2222581,
2017-03-21,2290.6069609869655,1794.372391462326,53.612239837646484,9.997254371643066,53.61748123168945,10.001728057861328,1.5105916300784727,6.534416675567627,0.530377209186554,3088,,,,,83275810,1859579,
2017-03-22,2339.665244103812,2679.176902294159,53.61152648925781,9.998026847839355,53.6174430847168,10.0037260055542,1.7685905776684783,5.103577136993408,0.5024937987327576,4127,,,,,82597287,2360150,
2017-03-23,2309.2923076116963,2243.59218031168,53.61233139038086,9.998281478881836,53.61751174926758,10.002958297729492,2.4579575905596367,9.768280029296875,0.7343024015426636,3438,,,,,83138492,2050937,
2017-03-24,2606.6224599428956,5076.53969681263,50.08985137939453,6.766448974609375,53.63199234008789,14.428059577941895,2.8103328426882266,19.270023345947266,0.5099019408226013,8493,,,,,68792768,4689574,175010
2017-03-25,3086.2570712500824,9640.845170080662,50.085662841796875,14.386249542236328,50.09356689453125,14.42651653289795,1.3803974692975494,14.490031242370605,0.5003998279571533,14769,,,,,71724535,9935474,
2017-03-26,3075.1093507597952,9744.366039276123,50.075523376464844,6.608701229095459,53.631744384765625,14.437654495239258,10.458318728378567,126.95291137695312,0.5053711533546448,13771,,,,,65510715,8700583,487251
2017-03-27,2339.4433262023313,2173.435214161873,53.61196517944336,9.997694969177246,53.617408752441406,10.001803398132324,2.2393189979850225,6.619743347167969,0.6600757837295532,3480,,,,,81972528,2087717,119416
2017-03-28,2418.3361096927893,3375.954869478941,53.55517578125,9.906204223632812,53.61863327026367,10.044529914855957,2.2189338786848776,15.680000305175781,0.5001000165939331,5075,,,,,79092595,2707071,171337
2017-03-29,2522.79954368153,3881.9571098145097,53.55646896362305,9.98563003540039,53.618953704833984,10.047532081604004,2.3138901795014584,20.210800170898438,0.5008991956710815,6304,,,,,75490881,3910960,133265
2017-03-30,2556.62768342157,4181.471300661564,53.54773712158203,9.956624984741211,53.61943054199219,10.047465324401855,2.2567028610042783,20.661170959472656,0.5003998279571533,6502,,,,,74607482,4020772,171173
2017-03-31,2402.597014407975,2701.582109950483,53.564449310302734,9.997776985168457,53.63331985473633,10.033960342407227,2.079600965358335,23.120019912719727,0.5885575413703918,5076,,,,,77198078,2997346,
2017-04-01,2492.560615470236,3424.346874833107,37.30875778198242,-122.40120697021484,53.72447204589844,10.006516456604004,17.081589905676932,228.3200225830078,0.5,6917,,,,,55048835,3885283,
2017-04-02,2277.9915639004703,1080.0192816853523,37.309417724609375,-122.4009780883789,37.63893127441406,-121.85662078857422,8.9510865730986,34.4503288269043,0.5408326983451843,2377,,,,,66864287,1709927,
2017-04-03,2309.1115323032986,1496.9611583948135,37.524375915527344,-122.06214141845703,37.56418991088867,-122.00091552734375,2.415412920536466,30.459999084472656,0.6107372641563416,2477,,,,,78045480,2033074,
2017-04-04,2415.6333074702825,2630.1635394096375,37.53087615966797,-122.13346862792969,37.70331954956055,-121.93373107910156,2.7198233672861885,34.96075439453125,0.5000999569892883,6248,,,,,74552940,3134133,
2017-04-05,2267.8459963232644,1021.1005331277847,37.30743408203125,-122.06272888183594,37.55125045776367,-121.88585662841797,2.854018578748606,32.04999923706055,0.5200961232185364,2879,,,,,75068088,1545297,
2017-04-06,2342.2234932487195,1647.8807339668274,37.30844497680664,-122.06262969970703,37.5635986328125,-121.8851089477539,2.865527010872259,34.7955436706543,0.5015974640846252,4549,,,,,75707914,2365888,
2017-04-07,2417.0893653834814,2466.603519618511,33.94931411743164,-122.4321060180664,37.707618713378906,-118.1602783203125,12.489434892444478,258.2602844238281,0.519711434841156,4203,,,,,67415456,3002329,
2017-04-08,2418.4744789977044,2794.4312545880675,33.94329071044922,-118.41116333007812,34.06966018676758,-118.25581359863281,6.7499580475548635,30.740631103515625,0.574282169342041,6178,,,,,72315728,3163077,
2017-04-09,3190.7296840248937,11796.842753618956,34.06299591064453,-118.59652709960938,34.429847717285156,-118.15074920654297,4.923577885401202,41.590030670166016,0.5600000023841858,19067,,,,,64300012,11029056,
2017-04-10,2267.919114899475,1231.9521033763885,30.107616424560547,-118.41515350341797,34.23736572265625,-96.67440795898438,4.994697374897648,38.52730178833008,0.5000999569892883,2802,,,,,67786980,1629506,
2017-04-11,2383.661891982797,1561.341098845005,30.182220458984375,-97.79093933105469,30.499595642089844,-96.67343139648438,6.099047823461325,38.03033447265625,0.5015974640846252,4489,,,,,65445191,2769498,
2017-04-12,2312.289983441712,1413.5398333072662,30.419212341308594,-97.79381561279297,30.498300552368164,-97.62785339355469,3.737550604444855,38.010337829589844,0.5,2748,,,,,75015513,2081471,
2017-04-13,2375.456119895615,1597.194327890873,30.43091583251953,-97.79662322998047,30.498981475830078,-97.61337280273438,4.06319009290035,36.54008865356445,0.5015974640846252,3052,,,,,71302996,2720705,
2017-04-14,2194.6291755313546,652.5675742179155,30.449142456054688,-97.79613494873047,30.49843978881836,-97.61064910888672,3.7363383188702115,38.530029296875,0.5103920102119446,1826,,,,,79321831,867013,
2017-04-15,2556.97518231464,3457.261448740959,30.201108932495117,-97.82894134521484,30.499372482299805,-97.56956481933594,4.899872101971098,39.148704528808594,0.5,6297,,,,,64107907,4572869,
2017-04-16,2291.56557324493,1878.1787580549717,30.200885772705078,-97.87449645996094,30.49823570251465,-97.57169342041016,6.024583024346352,40.82035446166992,0.5,3563,,,,,69370318,1860188,
2017-04-17,2165.2439440194794,274.8220957517624,30.428909301757812,-121.88935089111328,37.30943298339844,-97.6131591796875,5.049758331349076,35.3202018737793,0.5223982930183411,1264,,,,,75432377,583648,
2017-04-18,2224.1154903669617,888.6062796115875,30.402725219726562,-121.88935089111328,37.30943298339844,-97.61141967773438,3.959783272185605,38.860328674316406,0.5099999904632568,1855,,,,,72347436,1183318,
2017-04-19,2168.0821525129604,445.59387958049774,30.447803497314453,-97.79341888427734,30.533029556274414,-97.61194610595703,3.4000979944498066,37.66022491455078,0.5,1951,,,,,64633082,602923,
2017-04-20,2262.0628715381113,1223.037147551775,30.447956085205078,-97.79288482666016,30.509403228759766,-97.62740325927734,5.2372433061096,37.53000259399414,0.5000999569892883,3990,,,,,61867176,1457544,
2017-04-21,2132.0327404496343,73.81531071662903,30.496604919433594,-121.88935089111328,37.30943298339844,-97.61002349853516,2.8107716786914487,19.1299991607666,0.5,920,,,,,72956881,245355,
2017-04-22,2896.396764525933,7779.940237402916,30.201629638671875,-122.73091125488281,45.591983795166016,-79.6243667602539,3.642233396280013,21.444515228271484,0.5223982930183411,14792,,,,615860,44515326,7357141,
2017-04-23,2185.574173052225,527.0382199287415,45.328819274902344,-123.15764617919922,45.58663558959961,-122.6386947631836,3.85287746440523,33.06015396118164,0.5110772848129272,2607,,,,,36005436,788069,
2017-04-24,2280.203291358946,1044.040751427412,37.60676193237305,-122.64912414550781,45.59553146362305,-116.79718017578125,4.452510186734515,262.9208679199219,0.5015974640846252,2570,,,,,55960525,1591961,65797
2017-04-25,2252.493336562314,712.5097476989031,30.19762420654297,-97.74607849121094,30.53560447692871,-97.61328125,4.99815469677388,33.280601501464844,0.5015974640846252,1991,,,,,67130487,1471104,
2017-04-26,2236.7400057045925,601.7137069702148,30.4478702545166,-97.79275512695312,30.499948501586914,-97.61283111572266,2.331004619451963,38.12364959716797,0.5003998279571533,2220,,,,,65221312,1309747,
2017-04-27,2172.7133120452204,409.6477745771408,30.497325897216797,-97.69307708740234,30.647357940673828,-97.6278305053711,5.589300824803789,35.17013931274414,0.519711434841156,1277,,,,,56664830,621114,
2017-04-28,2246.6648953763083,731.1091253757477,30.49702262878418,-98.40960693359375,31.294132232666016,-97.6275634765625,2.24351912134565,30.550079345703125,0.5096076726913452,2813,,,,,64703206,1413009,
2017-04-29,2235.8595872186197,659.7283577919006,31.294113159179688,-98.40789794921875,31.299198150634766,-98.40567016601562,1.5356566584070908,6.847598075866699,0.5830951929092407,1130,,,,701288,51947794,447589,
2017-04-30,2269.450444184796,784.3588406443596,30.429035186767578,-98.40776824951172,31.294769287109375,-97.58032989501953,9.813511018049049,40.20008087158203,0.5003998279571533,3637,,,,,56409208,1645103,
